,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,Date,Moon phase
249,2002-09-07,27.1,9.1,23.0,29.7,5.8,22.9,21.4,91.1,0.0,0.0,0.0,2002-07-09,0.97
948,2004-08-06,26.2,24.1,25.4,26.2,24.1,25.4,22.5,84.3,0.0,0.0,0.0,2004-06-08,0.68
1283,2005-07-07,27.7,24.1,25.5,31.8,24.1,26.7,24.0,91.9,0.0,0.0,0.0,2005-07-07,0.03
1984,2007-06-08,31.1,23.1,27.1,36.7,23.1,29.7,23.7,82.7,0.0,0.0,0.0,2007-08-06,0.77
2653,2009-04-07,33.5,26.0,29.2,40.1,26.0,33.6,24.7,77.7,0.0,0.0,0.0,2009-07-04,0.57
2990,2010-03-10,33.0,23.0,27.6,39.8,23.0,30.4,23.3,78.8,3.0,100.0,4.17,2010-10-03,0.85
2991,2010-03-10,33.0,23.0,27.6,39.8,23.0,30.4,23.3,78.8,3.0,100.0,4.17,2010-10-03,0.85
2992,2010-03-10,33.0,23.0,27.6,39.8,23.0,30.4,23.3,78.8,3.0,100.0,4.17,2010-10-03,0.85
3326,2011-02-07,32.7,24.0,27.9,38.4,24.0,30.6,23.8,79.8,0.0,0.0,0.0,2011-07-02,0.04
3327,2011-02-07,32.7,24.0,27.9,38.4,24.0,30.6,23.8,79.8,0.0,0.0,0.0,2011-07-02,0.04
3328,2011-02-07,32.7,24.0,27.9,38.4,24.0,30.6,23.8,79.8,0.0,0.0,0.0,2011-07-02,0.04
7582,2022-01-10,30.0,16.0,26.1,35.1,16.0,27.9,23.3,84.8,1.0,100.0,4.17,2022-10-01,0.2
8561,2024-03-07,35.0,25.0,29.1,44.9,25.0,34.4,25.4,81.9,0.0,0.0,0.0,2024-07-03,0.91
