Date,Location,Duration(days),Causes,Precipitaion, Precipitation probability, Precipitation cover, Precipitation Type,Sealevel,Moon phase,Wind gust,Wind speed,Wind direction,,,
3-Jul-24,Lagoscity,1,Heavyarain,52.1,100,79.17,rain,,0.91,32.4,25.2,224,,,
1-Oct-22, Lagoscity  ,Manydays ,unspecified Heavyrain,1,100,4.17,rain,,0.2,25.9,25.9,196.8,,,
2-Jul-11, Lagosisland,2days,Heavyrain ,0.5,100,12.5,rain,,0.04,31.7,27.3,241.3,,,
2-Jul-11,Mainland,2days,Heavyrain ,0.5,100,12.5,rain,,0.04,31.7,27.3,241.3,,,
2-Jul-11,Mushin,2days,Heavyrain ,0.5,100,12.5,rain,,0.04,31.7,27.3,241.3,,,
3-Oct-10, Lagosisland,Manydays ,unspecified Heavyrain,1,100,4.17,rain,,0.85,25.9,22.3,248.8,,,
3-Oct-10,Apapa,Manydays ,unspecified Heavyrain,1,100,4.17,rain,,0.85,25.9,22.3,248.8,,,
3-Oct-10,Kosofe,Manydays ,unspecified Heavyrain,1,100,4.17,rain,,0.85,25.3,22.3,248.8,,,
4-Jul-09, Lagoscity  ,Manydays ,Heavyrain ,0,0,0,0,,0.57,16.6,14.8,245,,,
5-Oct-08, Lagoscity  ,N/A,Heavyrain ,0,0,0,0,,0,0,0,0,,,
6-Aug-07, Ikorodu,15,Heavyrain ,0,0,0,0,,0.77,0,0,0,,,
6-Aug-07,Kosofe,15,Heavyrain ,0,0,0,0,,,0,0,0,,,
7-Jul-05, Lagoscity  ,5,Heavystorm,0,0,0,0,,0.03,0,22.3,260.8,,,
8-Jun-04, Lagoscity  ,2,Heavyrain ,0,0,0,0,,0.68,0,29.5,212.7,,,
9-Jul-02, Lagoscity  ,3,Heavyrain ,0,0,0,0,,0.97,0,37.1,210.6,,,
10-Jun-00,VictoriaIsland,2,BriefTorrentialrain,0,0,0,0,,0.28,0,37.1,210.6,,,
10-Jun-00,Ikoyi,2,BriefTorrentialrain,0,0,0,0,,0.28,0,37.1,210.6,,,
10-Jul-00,VictoriaIsland,2,BriefTorrentialrain,0,0,0,0,,0.28,0,37.1,210.6,,,
10-Jul-00,Ikoyi,2,BriefTorrentialrain,0,0,0,0,,0.28,0,37.1,210.6,,,
10-Sep-00,VictoriaIsland,2,BriefTorrentialrain,0,0,0,0,,0.39,0,18.4,210,,,
10-Sep-00,Ikoyi,2,BriefTorrentialrain,0,0,0,0,,,0,,,,,
11-May-99,Idiaraba,N/A,Heavyrain ,0,0,0,0,,0.86,0,22.3,81.2,,,
11-May-99,Mushin,N/A,Heavyrain ,0,0,0,0,,0.92,0,20.5,212.2,,,
11-Jun-99,Idiaraba,N/A,Heavyrain ,0,0,0,0,,0,0,,,,,
11-Jun-99,Mushin,N/A,Heavyrain ,0,0,0,0,,0,0,,,,,
11-Jul-99,Idiaraba,N/A,Heavyrain ,0,0,0,0,,0.94,0,22.3,222.1,,,
11-Jul-99,Mushin,N/A,Heavyrain ,0,0,0,0,,0.94,0,22.3,222'1,,,
12-Jul-90, Lagoscity  ,2,Heavyrain ,0,0,0,0,,0.64,0,0,0,,,
13-Jul-90, Lagoscity  ,2,Heavyrain ,0,0,0,0,,0.67,0,0,0,,,
14-Jun-74,Ikorodu,Manydays ,unspecified Heavyrain,0,0,0,0,,0.81,0,9.4,204.4,,,
14-Jun-74,Surulere,Manydays ,unspecified Heavyrain,0,0,0,0,,0.81,0,9.4,204.4,,,
14-Jun-74,Yaba,Manydays ,unspecified Heavyrain,0,0,0,0,,0.81,0,9.4,204.4,,,
14-Jun-74,Idiaraba,Manydays ,unspecified Heavyrain,0,0,0,0,,0.81,0,9.4,204.4,,,
15-Jun-72, Lagosisland,N/A,Heavyrain ,0,0,0,0,,0.13,0,0,0,,,
16-Jul-71, Lagosisland,5,Heavyrain ,0,0,0,0,,0.79,0,0,0,,,
17-Jul-70, Lagosisland,N/A,"Winds,accompaniedbyshort-duration",0,0,0,0,,0.45,0,0,0,,,
18-Jun-69,Surulere,,high-intensityrain  ,0,0,0,0,,0,0,0,0,,,
18-Jun-69,Yaba,10,high-intensityrain  ,0,0,0,0,,0,0,0,0,,,
19-Jun-68, Lagosisland,N/A,Heavystorm,0,0,0,0,,0,0,0,0,,,
19-Jun-68,Ijora,N/A,Heavystorm,0,0,0,0,,0,0,0,0,,,
